business_accomodation_and_food_services,business_admin_support_and_waste_mngmt,business_agriculture_forestry_fishing_hunting,business_arts_entertain_rec,business_construction,business_education_services,business_finance_and_insurance,business_health_care_social_assit,business_unclassified,business_information,business_mngmt_companies,business_manufacturing,business_oil_extraction,business_other_services,business_profess_scientif_tech_services,business_real_estate_rental_leasing,business_retail,business_transportation_warehousing,business_utilities,business_wholesale_trade,business_zip
9.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,01337
0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01338
4.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,01339
0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,01340
0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,01341
0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,01342
5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,01344
0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,4.0,0.0,0.0,0.0,01351
4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,01354
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,01355
4.0,5.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,01360
13.0,3.0,0.0,0.0,10.0,0.0,0.0,16.0,0.0,0.0,0.0,20.0,0.0,17.0,6.0,0.0,19.0,7.0,0.0,6.0,01364
0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,01366
0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01367
0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01368
13.0,4.0,0.0,7.0,15.0,0.0,7.0,8.0,0.0,4.0,0.0,6.0,0.0,15.0,11.0,3.0,20.0,0.0,0.0,5.0,01370
16.0,3.0,0.0,0.0,16.0,0.0,7.0,12.0,0.0,0.0,3.0,9.0,0.0,19.0,17.0,3.0,23.0,8.0,0.0,8.0,01373
9.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,6.0,10.0,0.0,0.0,0.0,01375
10.0,6.0,0.0,0.0,4.0,5.0,4.0,18.0,0.0,0.0,0.0,10.0,0.0,14.0,4.0,0.0,20.0,0.0,0.0,4.0,01376
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,01379
77.0,44.0,0.0,6.0,68.0,10.0,32.0,126.0,0.0,7.0,4.0,47.0,0.0,86.0,45.0,26.0,119.0,18.0,0.0,34.0,01420
10.0,7.0,0.0,0.0,20.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,9.0,10.0,0.0,10.0,3.0,0.0,3.0,01430
4.0,6.0,0.0,0.0,19.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,7.0,4.0,0.0,4.0,0.0,0.0,0.0,01431
22.0,7.0,0.0,0.0,26.0,3.0,7.0,18.0,0.0,4.0,0.0,26.0,0.0,22.0,19.0,10.0,31.0,21.0,0.0,12.0,01432
8.0,4.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,13.0,0.0,5.0,15.0,6.0,0.0,3.0,0.0,7.0,01434
4.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,01436
0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,01438
46.0,17.0,0.0,7.0,28.0,4.0,20.0,70.0,0.0,9.0,0.0,34.0,0.0,49.0,22.0,12.0,79.0,9.0,0.0,6.0,01440
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,01441
17.0,20.0,0.0,5.0,35.0,5.0,9.0,31.0,0.0,3.0,0.0,6.0,0.0,22.0,26.0,5.0,16.0,0.0,0.0,8.0,01450
6.0,9.0,4.0,0.0,19.0,0.0,4.0,20.0,0.0,4.0,0.0,6.0,0.0,10.0,41.0,9.0,7.0,0.0,0.0,4.0,01451
0.0,6.0,0.0,0.0,13.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,5.0,0.0,0.0,0.0,01452
124.0,71.0,0.0,17.0,115.0,10.0,53.0,130.0,0.0,20.0,5.0,91.0,0.0,84.0,88.0,41.0,211.0,31.0,4.0,43.0,01453
20.0,20.0,0.0,4.0,57.0,4.0,10.0,25.0,0.0,9.0,0.0,17.0,0.0,23.0,45.0,9.0,46.0,3.0,0.0,25.0,01460
20.0,15.0,0.0,4.0,51.0,0.0,7.0,14.0,0.0,0.0,0.0,4.0,0.0,16.0,26.0,17.0,33.0,4.0,0.0,4.0,01462
8.0,18.0,0.0,0.0,61.0,4.0,7.0,20.0,0.0,3.0,0.0,6.0,0.0,23.0,21.0,10.0,25.0,4.0,0.0,8.0,01463
9.0,5.0,0.0,0.0,26.0,0.0,3.0,4.0,0.0,0.0,0.0,16.0,0.0,12.0,17.0,0.0,8.0,5.0,0.0,11.0,01464
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,01467
4.0,3.0,0.0,0.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,6.0,7.0,0.0,6.0,0.0,0.0,4.0,01468
17.0,9.0,0.0,3.0,25.0,3.0,5.0,8.0,0.0,3.0,0.0,3.0,0.0,21.0,11.0,4.0,19.0,0.0,0.0,3.0,01469
