zip,property_value_avg
91401,916429
17013,196038
11367,415796
33884,221912
93726,249727
3103,276478
98366,390030
92262,486219
77035,235977
47403,203290
92821,787454
48127,180014
10035,582557
36526,226224
78537,95665
98121,653936
77642,70827
58801,280857
89431,314071
21042,607900
72120,155882
47630,222585
80112,529977
6106,140116
89102,273908
92840,693221
63901,117820
20016,1123313
60047,426277
77096,356656
93940,893989
48221,100954
89139,342601
94123,2386936
58701,212086
58102,208342
94523,823330
55414,324178
34205,208424
32258,280736
37919,330733
28303,134951
60607,426485
90266,2684920
60564,449507
30092,387379
1760,661839
75501,98281
92505,457045
89521,510040
95691,457353
21244,242942
66212,253168
44095,143944
72023,161761
91360,769344
32459,606144
91205,789699
42104,218721
68104,149967
80004,504633
19115,284471
91767,506538
14215,77058
55987,182865
33707,277445
60030,235044
30180,211665
92705,1034570
38301,81110
13027,191906
85042,278368
59405,205629
12901,170028
91604,1502254
78628,384323
43402,202736
33309,260488
33135,351937
6450,192778
55082,409188
92649,948157
22015,582582
92373,568158
97209,493948
1604,287741
30033,382418
76131,250986
98198,460720
10304,557263
40207,340288
78586,88065
40391,151655
33950,351427
45458,299175
21113,342704
94303,2022656
95991,316700
96701,748733
28792,257033
8096,202795
30223,134990
34120,332615
33010,339201
57702,294319
