SizeRank,Zip,RegionType,StateName,State,City,Metro,CountyName,ZHVI_3mo
11519,42171,Zip,KY,KY,Smiths Grove,Bowling Green,Warren County,144231
11519,98014,Zip,WA,WA,Carnation,Seattle-Tacoma-Bellevue,King County,745024
11519,13142,Zip,NY,NY,Town Of Richland,Syracuse,Oswego County,143206
11522,32189,Zip,FL,FL,Satsuma,Palatka,Putnam County,143348
11522,93223,Zip,CA,CA,Farmersville,Visalia-Porterville,Tulare County,216434
11524,35046,Zip,AL,AL,Clanton,Birmingham-Hoover,Chilton County,167798
11524,68949,Zip,NE,NE,Holdrege,,Phelps County,142111
11526,10533,Zip,NY,NY,Irvington,New York-Newark-Jersey City,Westchester County,989142
11529,77360,Zip,TX,TX,Onalaska,,Polk County,132894
11530,70462,Zip,LA,LA,Killian,Baton Rouge,Livingston Parish,221501
11530,73051,Zip,OK,OK,Slaughterville,Oklahoma City,Cleveland County,127089
11532,69337,Zip,NE,NE,Chadron,,Dawes County,136150
11532,74959,Zip,OK,OK,Spiro,Fort Smith,LeFlore County,81719
11532,70533,Zip,LA,LA,Erath,Lafayette,Vermilion Parish,127587
11535,98815,Zip,WA,WA,Cashmere,Wenatchee,Chelan County,393187
11535,53146,Zip,WI,WI,New Berlin,Milwaukee-Waukesha-West Allis,Waukesha County,307037
11537,11978,Zip,NY,NY,Westhampton Beach,New York-Newark-Jersey City,Suffolk County,1299254
11538,66218,Zip,KS,KS,Shawnee,Kansas City,Johnson County,342772
11538,49117,Zip,MI,MI,New Buffalo,Niles-Benton Harbor,Berrien County,426119
11540,20180,Zip,VA,VA,Lovettsville,Washington-Arlington-Alexandria,Loudoun County,551227
11541,42544,Zip,KY,KY,Nancy,Somerset,Pulaski County,104201
11541,10920,Zip,NY,NY,Town Of Clarkstown,New York-Newark-Jersey City,Rockland County,456025
11541,32234,Zip,FL,FL,Jacksonville,Jacksonville,Duval County,197919
11544,4609,Zip,ME,ME,Bar Harbor,,Hancock County,406075
11544,89061,Zip,NV,NV,Pahrump,Pahrump,Nye County,277167
11544,6333,Zip,CT,CT,East Lyme,Norwich-New London,New London County,370744
11547,67701,Zip,KS,KS,Colby,,Thomas County,129332
11547,27306,Zip,NC,NC,Mount Gilead,,Montgomery County,139252
11549,27505,Zip,NC,NC,Broadway,Dunn,Harnett County,175191
11550,71857,Zip,AR,AR,Prescott,Hope,Nevada County,46530
11551,12564,Zip,NY,NY,Town of Pawling,New York-Newark-Jersey City,Dutchess County,346127
11551,54025,Zip,WI,WI,Somerset,Minneapolis-St. Paul-Bloomington,Saint Croix County,273323
11551,99001,Zip,WA,WA,Airway Heights,Spokane-Spokane Valley,Spokane County,278334
11554,15946,Zip,PA,PA,Portage Township,Johnstown,Cambria County,89751
11555,56283,Zip,MN,MN,Redwood Falls,,Redwood County,125897
11555,19365,Zip,PA,PA,Parkesburg,Philadelphia-Camden-Wilmington,Chester County,233665
11555,12184,Zip,NY,NY,Town of Kinderhook,Hudson,Columbia County,299695
11555,95019,Zip,CA,CA,Freedom,Santa Cruz-Watsonville,Santa Cruz County,600606
11559,28789,Zip,NC,NC,Whittier,Cullowhee,Jackson County,203048
11560,3903,Zip,ME,ME,Eliot,Portland-South Portland,York County,416431
11561,14085,Zip,NY,NY,Town of Hamburg,Buffalo-Cheektowaga-Niagara Falls,Erie County,248463
11562,18106,Zip,PA,PA,Lower Macungie Township,Allentown-Bethlehem-Easton,Lehigh County,313595
11562,37380,Zip,TN,TN,South Pittsburg,Chattanooga,Marion County,124828
11564,57032,Zip,SD,SD,Harrisburg,Sioux Falls,Lincoln County,247329
11564,46933,Zip,IN,IN,Gas City,Marion,Grant County,97264
11564,70374,Zip,LA,LA,Lockport,Houma-Thibodaux,Lafourche Parish,130708
11567,12986,Zip,NY,NY,Town of Tupper Lake,Malone,Franklin County,133178
11567,40311,Zip,KY,KY,Carlisle,,Nicholas County,93946
11570,23523,Zip,VA,VA,Norfolk,Virginia Beach-Norfolk-Newport News,Norfolk City,173948
11570,64730,Zip,MO,MO,Butler,Kansas City,Bates County,123155
11572,1566,Zip,MA,MA,Sturbridge,Worcester,Worcester County,343417
11572,6878,Zip,CT,CT,Greenwich,Bridgeport-Stamford-Norwalk,Fairfield County,1518912
11572,78073,Zip,TX,TX,San Antonio,San Antonio-New Braunfels,Bexar County,163430
11575,63133,Zip,MO,MO,Pagedale,St. Louis,Saint Louis County,43001
11576,75140,Zip,TX,TX,Grand Saline,,Van Zandt County,135953
11576,98672,Zip,WA,WA,White Salmon,,Klickitat County,475747
11578,19343,Zip,PA,PA,Glenmoore,Philadelphia-Camden-Wilmington,Chester County,453849
11579,7624,Zip,NJ,NJ,Closter,New York-Newark-Jersey City,Bergen County,730932
11580,54728,Zip,WI,WI,Chetek,,Barron County,176969
11580,44287,Zip,OH,OH,West Salem,Wooster,Wayne County,172921
11580,15748,Zip,PA,PA,Center Township,Indiana,Indiana County,118515
11583,37419,Zip,TN,TN,Chattanooga,Chattanooga,Hamilton County,213311
11584,17061,Zip,PA,PA,Upper Paxton Township,Harrisburg-Carlisle,Dauphin County,156428
11584,53954,Zip,WI,WI,Pardeeville,Madison,Columbia County,234407
11586,70648,Zip,LA,LA,Kinder,,Allen Parish,97774
11587,8734,Zip,NJ,NJ,Lacey Township,New York-Newark-Jersey City,Ocean County,325965
11587,4280,Zip,ME,ME,Sabattus,Lewiston-Auburn,Androscoggin County,231989
11589,43617,Zip,OH,OH,Toledo,Toledo,Lucas County,232998
11590,6807,Zip,CT,CT,Greenwich,Bridgeport-Stamford-Norwalk,Fairfield County,1059956
11590,29479,Zip,SC,SC,Saint Stephen,Charleston-North Charleston,Berkeley County,153159
11592,71639,Zip,AR,AR,Dumas,,Desha County,64544
11593,27316,Zip,NC,NC,Ramseur,Greensboro-High Point,Randolph County,142249
11594,97227,Zip,OR,OR,Portland,Portland-Vancouver-Hillsboro,Multnomah County,567370
11594,48350,Zip,MI,MI,Springfield,Detroit-Warren-Dearborn,Oakland County,325066
11596,19070,Zip,PA,PA,Ridley Township,Philadelphia-Camden-Wilmington,Delaware County,269336
11596,73117,Zip,OK,OK,Oklahoma City,Oklahoma City,Oklahoma County,73559
11598,80723,Zip,CO,CO,Brush,Fort Morgan,Morgan County,196844
11598,8270,Zip,NJ,NJ,Woodbine,Ocean City,Cape May County,199725
11600,48880,Zip,MI,MI,Saint Louis,Alma,Gratiot County,96988
11602,34291,Zip,FL,FL,North Port,North Port-Sarasota-Bradenton,Sarasota County,241744
11603,81647,Zip,CO,CO,New Castle,Glenwood Springs,Garfield County,406695
11604,1568,Zip,MA,MA,Upton,Worcester,Worcester County,510518
11606,55013,Zip,MN,MN,Chisago City,Minneapolis-St. Paul-Bloomington,Chisago County,339049
11606,36024,Zip,AL,AL,Eclectic,Montgomery,Elmore County,274641
11608,17777,Zip,PA,PA,Delaware Township,Sunbury,Northumberland County,176367
11608,18433,Zip,PA,PA,Scott Township,Scranton--Wilkes-Barre--Hazleton,Lackawanna County,142562
11610,4009,Zip,ME,ME,Bridgton,Portland-South Portland,Cumberland County,237431
11611,51537,Zip,IA,IA,Harlan,,Shelby County,130478
11611,48622,Zip,MI,MI,Farwell,,Clare County,116294
11611,95658,Zip,CA,CA,Newcastle,Sacramento--Roseville--Arden-Arcade,Placer County,740209
11611,44311,Zip,OH,OH,Akron,Akron,Summit County,40457
11611,97394,Zip,OR,OR,Waldport,Newport,Lincoln County,324998
11616,66220,Zip,KS,KS,Lenexa,Kansas City,Johnson County,471499
11616,26037,Zip,WV,WV,Follansbee,Weirton-Steubenville,Brooke County,86046
11616,42029,Zip,KY,KY,Calvert City,,Marshall County,126862
11619,18224,Zip,PA,PA,Freeland,Scranton--Wilkes-Barre--Hazleton,Luzerne County,81275
11619,28114,Zip,NC,NC,Mooresboro,Forest City,Rutherford County,99330
11621,79922,Zip,TX,TX,El Paso,El Paso,El Paso County,272874
11623,20841,Zip,MD,MD,Boyds,Washington-Arlington-Alexandria,Montgomery County,652766
11623,45656,Zip,OH,OH,Oak Hill,Jackson,Jackson County,77816
11625,51250,Zip,IA,IA,Sioux Center,,Sioux County,234139
11626,2379,Zip,MA,MA,West Bridgewater,Boston-Cambridge-Newton,Plymouth County,424798
11626,43502,Zip,OH,OH,Archbold,Toledo,Fulton County,169245
11628,41097,Zip,KY,KY,Williamstown,Cincinnati,Grant County,142487
11629,28383,Zip,NC,NC,Rowland,Lumberton,Robeson County,63548
11629,42127,Zip,KY,KY,Cave City,Glasgow,Barren County,114572
11629,49346,Zip,MI,MI,Stanwood,Big Rapids,Mecosta County,194733
11632,46783,Zip,IN,IN,Roanoke,Huntington,Huntington County,235250
11633,3304,Zip,NH,NH,Bow,Concord,Merrimack County,389291
11633,76258,Zip,TX,TX,Pilot Point,Dallas-Fort Worth-Arlington,Denton County,290364
11633,49677,Zip,MI,MI,Reed City,,Osceola County,98947
11636,86325,Zip,AZ,AZ,Cornville,Prescott,Yavapai County,370338
11636,55734,Zip,MN,MN,Eveleth,Duluth,Saint Louis County,122545
11638,49053,Zip,MI,MI,Comstock,Kalamazoo-Portage,Kalamazoo County,214109
11640,53118,Zip,WI,WI,Ottawa,Milwaukee-Waukesha-West Allis,Waukesha County,410163
11640,90290,Zip,CA,CA,Topanga,Los Angeles-Long Beach-Anaheim,Los Angeles County,1342340
11640,33036,Zip,FL,FL,Islamorada,Key West,Monroe County,864710
11643,51012,Zip,IA,IA,Cherokee,,Cherokee County,100248
11643,31714,Zip,GA,GA,Ashburn,,Turner County,73639
11643,56334,Zip,MN,MN,Glenwood,,Pope County,220580
11643,30145,Zip,GA,GA,Kingston,Atlanta-Sandy Springs-Roswell,Bartow County,198183
11647,65793,Zip,MO,MO,Willow Springs,West Plains,Howell County,119292
11647,83341,Zip,ID,ID,Kimberly,Twin Falls,Twin Falls County,301106
11649,72855,Zip,AR,AR,Paris,,Logan County,82594
11649,70668,Zip,LA,LA,Vinton,Lake Charles,Calcasieu Parish,132040
11649,7603,Zip,NJ,NJ,Bogota,New York-Newark-Jersey City,Bergen County,392007
11649,6249,Zip,CT,CT,Lebanon,Norwich-New London,New London County,268700
11649,93460,Zip,CA,CA,Santa Ynez,Santa Maria-Santa Barbara,Santa Barbara County,1163045
11654,85363,Zip,AZ,AZ,Youngtown,Phoenix-Mesa-Scottsdale,Maricopa County,215264
11654,3835,Zip,NH,NH,Farmington,Boston-Cambridge-Newton,Strafford County,254424
11656,21035,Zip,MD,MD,Davidsonville,Baltimore-Columbia-Towson,Anne Arundel County,701396
11656,12540,Zip,NY,NY,La Grange,New York-Newark-Jersey City,Dutchess County,394337
11658,93953,Zip,CA,CA,Del Monte Forest,Salinas,Monterey County,2288464
11658,95683,Zip,CA,CA,Sloughhouse,Sacramento--Roseville--Arden-Arcade,Sacramento County,591030
11658,14514,Zip,NY,NY,Chili,Rochester,Monroe County,202381
11661,98855,Zip,WA,WA,Tonasket,,Okanogan County,208291
11663,12845,Zip,NY,NY,Town of Lake George,Glens Falls,Warren County,303937
11663,62839,Zip,IL,IL,Flora,,Clay County,69059
11663,11559,Zip,NY,NY,Lawrence,New York-Newark-Jersey City,Nassau County,1491589
11666,71232,Zip,LA,LA,Delhi,,Richland Parish,73714
11666,7649,Zip,NJ,NJ,Oradell,New York-Newark-Jersey City,Bergen County,637499
11669,81637,Zip,CO,CO,Gypsum,Edwards,Eagle County,381257
11669,76023,Zip,TX,TX,Boyd,Dallas-Fort Worth-Arlington,Wise County,243772
11669,27572,Zip,NC,NC,Rougemont,Durham-Chapel Hill,Person County,251622
11672,48651,Zip,MI,MI,Prudenville,,Roscommon County,107495
11673,35905,Zip,AL,AL,Glencoe,Gadsden,Etowah County,130960
11674,45232,Zip,OH,OH,Cincinnati,Cincinnati,Hamilton County,126964
11674,47102,Zip,IN,IN,Austin,Louisville/Jefferson County,Scott County,88299
11676,98365,Zip,WA,WA,Port Ludlow,,Jefferson County,479304
11676,37885,Zip,TN,TN,Vonore,,Monroe County,286242
11678,35474,Zip,AL,AL,Moundville,Tuscaloosa,Hale County,152548
